token,symbol,name,expiry,strike,lotsize,instrumenttype
"1164119","SENSEX24D1382600CE","SENSEX","13DEC2024",82600,"10","OPTIDX"
"1164289","SENSEX24D1377400PE","SENSEX","13DEC2024",77400,"10","OPTIDX"
"1164430","SENSEX24D1382100CE","SENSEX","13DEC2024",82100,"10","OPTIDX"
"1164597","SENSEX24D1379900PE","SENSEX","13DEC2024",79900,"10","OPTIDX"
"1164663","SENSEX24D1380300PE","SENSEX","13DEC2024",80300,"10","OPTIDX"
"1164688","SENSEX24D1382300CE","SENSEX","13DEC2024",82300,"10","OPTIDX"
"1164851","SENSEX24D1380200CE","SENSEX","13DEC2024",80200,"10","OPTIDX"
"1164970","SENSEX24D1376200CE","SENSEX","13DEC2024",76200,"10","OPTIDX"
"1166516","SENSEX24D1374900PE","SENSEX","13DEC2024",74900,"10","OPTIDX"
"1167600","SENSEX24D1374700PE","SENSEX","13DEC2024",74700,"10","OPTIDX"
"1163937","SENSEX24D1376100CE","SENSEX","13DEC2024",76100,"10","OPTIDX"
"820514","SENSEX24D1373500PE","SENSEX","13DEC2024",73500,"10","OPTIDX"
"824974","SENSEX24D1384900CE","SENSEX","13DEC2024",84900,"10","OPTIDX"
"824823","SENSEX24D1384600CE","SENSEX","13DEC2024",84600,"10","OPTIDX"
"825181","SENSEX24D1385600CE","SENSEX","13DEC2024",85600,"10","OPTIDX"
"825250","SENSEX24D1385100PE","SENSEX","13DEC2024",85100,"10","OPTIDX"
"825365","SENSEX24D1385800CE","SENSEX","13DEC2024",85800,"10","OPTIDX"
"824775","SENSEX24D1384700PE","SENSEX","13DEC2024",84700,"10","OPTIDX"
"825110","SENSEX24D1384900PE","SENSEX","13DEC2024",84900,"10","OPTIDX"
"825213","SENSEX24D1385200PE","SENSEX","13DEC2024",85200,"10","OPTIDX"
"825406","SENSEX24D1385400CE","SENSEX","13DEC2024",85400,"10","OPTIDX"
"825263","SENSEX24D1385100CE","SENSEX","13DEC2024",85100,"10","OPTIDX"
"825270","SENSEX24D1385400PE","SENSEX","13DEC2024",85400,"10","OPTIDX"
"825311","SENSEX24D1385300PE","SENSEX","13DEC2024",85300,"10","OPTIDX"
"825358","SENSEX24D1385500PE","SENSEX","13DEC2024",85500,"10","OPTIDX"
"824868","SENSEX24D1384800PE","SENSEX","13DEC2024",84800,"10","OPTIDX"
"1163935","SENSEX24D1382700PE","SENSEX","13DEC2024",82700,"10","OPTIDX"
"1163966","SENSEX24D1380700PE","SENSEX","13DEC2024",80700,"10","OPTIDX"
"1163992","SENSEX24D1382700CE","SENSEX","13DEC2024",82700,"10","OPTIDX"
"1164057","SENSEX24D1380300CE","SENSEX","13DEC2024",80300,"10","OPTIDX"
"1164137","SENSEX24D1375800PE","SENSEX","13DEC2024",75800,"10","OPTIDX"
"1164165","SENSEX24D1376300CE","SENSEX","13DEC2024",76300,"10","OPTIDX"
"1164167","SENSEX24D1381400PE","SENSEX","13DEC2024",81400,"10","OPTIDX"
"1164351","SENSEX24D1381000PE","SENSEX","13DEC2024",81000,"10","OPTIDX"
"1164441","SENSEX24D1376800PE","SENSEX","13DEC2024",76800,"10","OPTIDX"
"1164603","SENSEX24D1381500CE","SENSEX","13DEC2024",81500,"10","OPTIDX"
"1164732","SENSEX24D1381100PE","SENSEX","13DEC2024",81100,"10","OPTIDX"
"1164749","SENSEX24D1378300PE","SENSEX","13DEC2024",78300,"10","OPTIDX"
"1164888","SENSEX24D1375400CE","SENSEX","13DEC2024",75400,"10","OPTIDX"
"1164891","SENSEX24D1380500PE","SENSEX","13DEC2024",80500,"10","OPTIDX"
"824879","SENSEX24D1384800CE","SENSEX","13DEC2024",84800,"10","OPTIDX"
"1165055","SENSEX24D1383900CE","SENSEX","13DEC2024",83900,"10","OPTIDX"
"1164983","SENSEX24D1378500PE","SENSEX","13DEC2024",78500,"10","OPTIDX"
"1164997","SENSEX24D1383300CE","SENSEX","13DEC2024",83300,"10","OPTIDX"
"1165101","SENSEX24D1383500PE","SENSEX","13DEC2024",83500,"10","OPTIDX"
"825169","SENSEX24D1385600PE","SENSEX","13DEC2024",85600,"10","OPTIDX"
"825350","SENSEX24D1385200CE","SENSEX","13DEC2024",85200,"10","OPTIDX"
"1166446","SENSEX24D1375200CE","SENSEX","13DEC2024",75200,"10","OPTIDX"
"1167433","SENSEX24D1374700CE","SENSEX","13DEC2024",74700,"10","OPTIDX"
"1168158","SENSEX24D1374500CE","SENSEX","13DEC2024",74500,"10","OPTIDX"
"1167737","SENSEX24D1374200PE","SENSEX","13DEC2024",74200,"10","OPTIDX"
"1167762","SENSEX24D1374100CE","SENSEX","13DEC2024",74100,"10","OPTIDX"
"1167801","SENSEX24D1373700CE","SENSEX","13DEC2024",73700,"10","OPTIDX"
"1167784","SENSEX24D1374400PE","SENSEX","13DEC2024",74400,"10","OPTIDX"
"1167927","SENSEX24D1373700PE","SENSEX","13DEC2024",73700,"10","OPTIDX"
"1168129","SENSEX24D1374600PE","SENSEX","13DEC2024",74600,"10","OPTIDX"
"1166372","SENSEX24D1375000CE","SENSEX","13DEC2024",75000,"10","OPTIDX"
"1164070","SENSEX24D1376700PE","SENSEX","13DEC2024",76700,"10","OPTIDX"
"1164065","SENSEX24D1382000CE","SENSEX","13DEC2024",82000,"10","OPTIDX"
"1164237","SENSEX24D1378600CE","SENSEX","13DEC2024",78600,"10","OPTIDX"
"1164274","SENSEX24D1381700PE","SENSEX","13DEC2024",81700,"10","OPTIDX"
"1164323","SENSEX24D1383000PE","SENSEX","13DEC2024",83000,"10","OPTIDX"
"1164364","SENSEX24D1382800CE","SENSEX","13DEC2024",82800,"10","OPTIDX"
